customerid,recency,frequency,monetary_value,unique_products,first_purchase,last_purchase,avg_order_value,max_order_value,customer_lifetime_days,r_score,f_score,m_score,rfm_score,customer_segment
13079,4,5,220.10000000000002,2,2011-07-22 14:41:00,2011-12-05 16:53:00,44.02,112.9,137,5,4,1,10,Loyal Customers
13080,179,1,58.08,6,2011-06-13 14:59:00,2011-06-13 14:59:00,58.08,58.08,1,2,1,1,4,Inactive/Low Engagement
13081,12,11,28337.38,503,2010-12-03 17:20:00,2011-11-28 10:54:00,2576.1254545454544,7271.34,360,5,5,5,15,Champions
13082,126,9,3613.63,63,2011-01-05 15:42:00,2011-08-05 16:16:00,401.51444444444445,1278.1,213,2,5,5,12,At-Risk High-Value
13083,4,2,303.75,15,2011-09-25 10:46:00,2011-12-05 15:01:00,151.875,192.39,72,5,2,2,9,New/Potential Customers
13085,158,2,416.08000000000004,17,2011-02-17 13:57:00,2011-07-05 12:11:00,208.04000000000002,278.1,138,2,2,2,6,Inactive/Low Engagement
13089,3,97,58825.83,636,2010-12-05 10:27:00,2011-12-07 09:02:00,606.4518556701031,3705.48,367,5,5,5,15,Champions
13090,9,14,8910.82,98,2010-12-02 07:48:00,2011-12-01 12:39:00,636.4871428571429,1833.69,365,5,5,5,15,Champions
13091,28,1,345.82,21,2011-11-11 15:54:00,2011-11-11 15:54:00,345.82,345.82,1,4,1,2,7,New/Potential Customers
13092,71,5,477.83,19,2010-12-15 12:27:00,2011-09-30 11:18:00,95.566,185.45,289,3,4,2,9,Needs Attention
13093,276,8,7832.47,97,2010-12-01 15:00:00,2011-03-09 12:14:00,979.05875,1827.91,98,1,5,5,11,At-Risk High-Value
13094,21,12,1927.3200000000002,4,2010-12-06 10:34:00,2011-11-18 14:07:00,160.61,228.96000000000004,348,4,5,4,13,Champions
13095,71,1,74.39999999999999,6,2011-09-30 12:03:00,2011-09-30 12:03:00,74.39999999999999,74.39999999999999,1,3,1,1,5,Needs Attention
13097,33,10,6010.42,214,2010-12-14 15:13:00,2011-11-07 10:43:00,601.042,878.02,328,4,5,5,14,Champions
13098,1,28,28882.44,156,2011-01-26 13:46:00,2011-12-08 14:14:00,1031.5157142857142,2482.44,317,5,5,5,15,Champions
13099,99,1,207.35999999999999,1,2011-09-01 17:40:00,2011-09-01 17:40:00,207.35999999999999,207.35999999999999,1,2,1,1,4,Inactive/Low Engagement
13101,234,1,101.19,8,2011-04-19 14:37:00,2011-04-19 14:37:00,101.19,101.19,1,1,1,1,3,Inactive/Low Engagement
13102,1,24,6424.09,140,2010-12-09 13:38:00,2011-12-08 12:52:00,267.67041666666665,447.28,364,5,5,5,15,Champions
13103,40,1,243.94,8,2011-10-31 09:38:00,2011-10-31 09:38:00,243.94,243.94,1,3,1,1,5,Needs Attention
13104,3,6,1098.48,14,2010-12-20 11:58:00,2011-12-06 13:10:00,183.08,339.48,352,5,5,4,14,Champions
13106,133,1,76.5,1,2011-07-29 15:12:00,2011-07-29 15:12:00,76.5,76.5,1,2,1,1,4,Inactive/Low Engagement
13107,44,4,1531.6200000000001,54,2011-01-10 12:28:00,2011-10-26 14:52:00,382.90500000000003,566.84,290,3,4,4,11,Needs Attention
13108,373,1,350.06,10,2010-12-02 10:35:00,2010-12-02 10:35:00,350.06,350.06,1,1,1,2,4,Inactive/Low Engagement
13109,60,2,786.54,41,2011-07-05 14:56:00,2011-10-11 10:16:00,393.27,416.69,98,3,2,3,8,Needs Attention
13110,31,7,1488.67,109,2011-02-01 15:24:00,2011-11-08 14:30:00,212.66714285714286,302.71000000000004,280,4,5,4,13,Champions
13113,1,24,12245.960000000001,95,2010-12-08 13:21:00,2011-12-09 12:49:00,510.2483333333333,1961.05,366,5,5,5,15,Champions
13115,12,4,2294.78,88,2011-06-08 16:15:00,2011-11-28 12:38:00,573.695,901.07,173,5,4,5,14,Champions
13116,138,1,501.14,30,2011-07-24 14:33:00,2011-07-24 14:33:00,501.14,501.14,1,2,1,3,6,Inactive/Low Engagement
13117,22,8,984.91,66,2010-12-02 13:11:00,2011-11-18 12:02:00,123.11375,202.12,351,4,5,4,13,Champions
13118,20,5,1197.81,68,2011-02-24 12:32:00,2011-11-20 12:46:00,239.56199999999998,423.55,270,4,4,4,12,Champions
13120,239,1,30.599999999999998,1,2011-04-15 10:19:00,2011-04-15 10:19:00,30.599999999999998,30.599999999999998,1,1,1,1,3,Inactive/Low Engagement
13121,269,1,283.73,50,2011-03-15 16:47:00,2011-03-15 16:47:00,283.73,283.73,1,1,1,2,4,Inactive/Low Engagement
13122,94,2,922.39,54,2011-04-13 14:12:00,2011-09-06 15:53:00,461.195,903.67,147,2,2,3,7,Inactive/Low Engagement
13124,90,3,3866.33,185,2010-12-15 15:00:00,2011-09-11 12:45:00,1288.7766666666666,1317.8,270,2,3,5,10,At-Risk High-Value
13126,5,8,2099.64,124,2010-12-08 11:42:00,2011-12-05 10:00:00,262.455,369.44,362,5,5,5,15,Champions
13127,78,1,259.17,15,2011-09-23 10:26:00,2011-09-23 10:26:00,259.17,259.17,1,2,1,2,5,Inactive/Low Engagement
13130,94,1,64.0,2,2011-09-06 15:30:00,2011-09-06 15:30:00,64.0,64.0,1,2,1,1,4,Inactive/Low Engagement
13131,23,3,1073.3,30,2011-06-05 10:54:00,2011-11-16 13:21:00,357.76666666666665,447.3,165,4,3,4,11,Loyal Customers
13132,262,1,77.3,3,2011-03-23 12:44:00,2011-03-23 12:44:00,77.3,77.3,1,1,1,1,3,Inactive/Low Engagement
13133,274,2,109.8,7,2011-02-08 15:48:00,2011-03-11 10:31:00,54.900000000000006,57.45,31,1,2,1,4,Inactive/Low Engagement
13134,86,4,1793.58,94,2011-04-13 12:57:00,2011-09-15 10:35:00,448.395,907.84,155,2,4,4,10,At-Risk High-Value
13135,197,1,3096.0,1,2011-05-27 10:52:00,2011-05-27 10:52:00,3096.0,3096.0,1,1,1,5,7,At-Risk High-Value
13136,56,5,2607.61,94,2011-05-11 12:47:00,2011-10-14 13:41:00,521.5219999999999,921.4,157,3,4,5,12,Needs Attention
13137,11,8,3650.41,345,2011-02-04 11:54:00,2011-11-29 12:09:00,456.30125,682.17,299,5,5,5,15,Champions
13138,22,6,962.39,31,2010-12-02 15:03:00,2011-11-17 16:51:00,160.39833333333334,198.44,351,4,5,4,13,Champions
13139,16,7,5064.94,132,2011-03-25 11:57:00,2011-11-23 13:54:00,723.5628571428571,1873.62,244,4,5,5,14,Champions
13140,108,3,423.72,40,2010-12-08 15:12:00,2011-08-23 15:33:00,141.24,159.51,259,2,3,2,7,At Risk
13141,85,5,2388.75,113,2011-01-28 13:04:00,2011-09-16 09:54:00,477.75,987.72,231,2,4,5,11,At-Risk High-Value
13142,19,1,307.09,23,2011-11-20 16:07:00,2011-11-20 16:07:00,307.09,307.09,1,4,1,2,7,New/Potential Customers
13144,333,1,110.95,3,2011-01-11 11:15:00,2011-01-11 11:15:00,110.95,110.95,1,1,1,1,3,Inactive/Low Engagement
13145,40,4,618.52,5,2010-12-02 18:06:00,2011-10-31 12:45:00,154.63,295.0,333,3,4,3,10,Needs Attention
13146,26,1,228.91,16,2011-11-13 15:29:00,2011-11-13 15:29:00,228.91,228.91,1,4,1,1,6,New/Potential Customers
13147,10,4,712.8000000000001,1,2011-09-01 12:28:00,2011-11-29 13:59:00,178.20000000000002,237.60000000000002,90,5,4,3,12,Loyal Customers
13148,29,12,3707.12,231,2010-12-10 13:06:00,2011-11-10 15:23:00,308.9266666666667,677.09,336,4,5,5,14,Champions
13149,14,4,1676.06,76,2011-02-23 13:57:00,2011-11-25 13:09:00,419.015,543.4399999999999,275,4,4,4,12,Champions
13151,296,1,1257.8700000000001,73,2011-02-17 12:29:00,2011-02-17 12:29:00,1257.8700000000001,1257.8700000000001,1,1,1,4,6,At-Risk High-Value
13153,6,1,486.22,15,2011-12-04 12:14:00,2011-12-04 12:14:00,486.22,486.22,1,5,1,2,8,New/Potential Customers
13155,33,4,971.76,67,2010-12-06 12:44:00,2011-11-06 15:41:00,242.94,379.7,336,3,4,4,11,Needs Attention
13157,49,4,1741.22,69,2011-02-14 14:03:00,2011-10-21 13:50:00,435.305,868.02,249,3,4,4,11,Needs Attention
13158,95,4,1201.06,59,2011-01-25 09:58:00,2011-09-06 11:58:00,300.265,332.89,225,2,4,4,10,At-Risk High-Value
13159,9,4,1437.85,114,2011-08-16 11:44:00,2011-12-01 11:20:00,359.4625,457.31,107,5,4,4,13,Champions
13160,22,1,91.8,4,2011-11-17 13:07:00,2011-11-17 13:07:00,91.8,91.8,1,4,1,1,6,New/Potential Customers
13161,313,1,112.75,8,2011-01-30 14:03:00,2011-01-30 14:03:00,112.75,112.75,1,1,1,1,3,Inactive/Low Engagement
13162,122,4,1688.29,74,2011-01-09 10:43:00,2011-08-09 15:59:00,422.0725,753.26,213,2,4,4,10,At-Risk High-Value
13165,46,2,1021.48,40,2010-12-23 14:06:00,2011-10-24 15:05:00,510.74,666.84,306,3,2,4,9,Needs Attention
13166,283,1,417.2,39,2011-03-01 15:16:00,2011-03-01 15:16:00,417.2,417.2,1,1,1,2,4,Inactive/Low Engagement
13167,19,4,791.33,51,2011-07-19 12:13:00,2011-11-21 12:24:00,197.83249999999998,242.91,126,4,4,3,11,Loyal Customers
13168,36,4,1319.19,102,2011-01-25 13:55:00,2011-11-03 12:56:00,329.7975,632.18,282,3,4,4,11,Needs Attention
13169,64,2,712.88,11,2011-04-01 14:24:00,2011-10-07 12:11:00,356.44,505.2,189,3,2,3,8,Needs Attention
13170,27,1,116.00999999999999,29,2011-11-13 12:19:00,2011-11-13 12:19:00,116.00999999999999,116.00999999999999,1,4,1,1,6,New/Potential Customers
13171,22,3,468.41,37,2011-02-13 14:16:00,2011-11-18 10:27:00,156.13666666666666,195.52,278,4,3,2,9,Loyal Customers
13173,4,2,353.65,41,2010-12-07 14:30:00,2011-12-05 15:51:00,176.825,187.71,364,5,2,2,9,New/Potential Customers
13174,16,3,2817.03,228,2010-12-05 16:24:00,2011-11-23 14:35:00,939.0100000000001,1415.97,353,4,3,5,12,Loyal Customers
13176,46,1,492.84,66,2011-10-24 15:43:00,2011-10-24 15:43:00,492.84,492.84,1,3,1,3,7,Needs Attention
13177,65,1,282.45,17,2011-10-06 09:56:00,2011-10-06 09:56:00,282.45,282.45,1,3,1,2,6,Needs Attention
13178,26,11,5725.47,95,2010-12-14 12:22:00,2011-11-13 16:14:00,520.4972727272727,795.8000000000001,335,4,5,5,14,Champions
13182,45,1,121.18,11,2011-10-25 13:46:00,2011-10-25 13:46:00,121.18,121.18,1,3,1,1,5,Needs Attention
13183,8,9,3957.78,51,2011-01-09 10:50:00,2011-12-02 10:30:00,439.75333333333333,690.6000000000001,327,5,5,5,15,Champions
13184,15,10,1701.29,138,2011-02-22 17:25:00,2011-11-25 12:02:00,170.129,365.02,276,4,5,4,13,Champions
13185,268,1,71.4,1,2011-03-17 11:56:00,2011-03-17 11:56:00,71.4,71.4,1,1,1,1,3,Inactive/Low Engagement
13186,40,3,1575.89,69,2011-08-03 09:09:00,2011-10-31 11:40:00,525.2966666666667,988.34,90,3,3,4,10,Needs Attention
13187,337,1,236.02,37,2011-01-06 18:57:00,2011-01-06 18:57:00,236.02,236.02,1,1,1,1,3,Inactive/Low Engagement
13188,11,1,114.60000000000001,2,2011-11-28 15:28:00,2011-11-28 15:28:00,114.60000000000001,114.60000000000001,1,5,1,1,7,New/Potential Customers
13189,19,2,260.68,29,2011-08-16 13:12:00,2011-11-21 10:39:00,130.34,133.68,97,4,2,2,8,New/Potential Customers
13192,95,2,911.94,57,2011-05-18 14:57:00,2011-09-05 14:13:00,455.97,464.32,110,2,2,3,7,Inactive/Low Engagement
13193,61,1,117.88,22,2011-10-09 14:30:00,2011-10-09 14:30:00,117.88,117.88,1,3,1,1,5,Needs Attention
13194,136,1,60.7,3,2011-07-27 09:01:00,2011-07-27 09:01:00,60.7,60.7,1,2,1,1,4,Inactive/Low Engagement
13196,11,4,1797.78,97,2011-03-22 14:24:00,2011-11-28 13:54:00,449.445,1074.82,251,5,4,4,13,Champions
13198,10,6,3401.2400000000002,199,2010-12-13 09:29:00,2011-11-29 15:17:00,566.8733333333333,903.01,352,5,5,5,15,Champions
13199,4,38,9817.12,48,2010-12-08 10:51:00,2011-12-06 12:30:00,258.34526315789475,1826.8799999999999,364,5,5,5,15,Champions
13200,19,4,870.09,42,2011-08-05 14:50:00,2011-11-20 15:35:00,217.5225,319.32,108,4,4,3,11,Loyal Customers
13203,10,4,869.46,56,2011-04-11 14:40:00,2011-11-30 10:45:00,217.365,396.38,233,5,4,3,12,Loyal Customers
13207,15,2,250.26000000000002,7,2011-07-12 11:35:00,2011-11-24 14:52:00,125.13000000000002,197.52000000000004,136,4,2,2,8,New/Potential Customers
13208,59,6,1223.9,124,2011-02-03 19:32:00,2011-10-12 09:54:00,203.98333333333335,382.35,251,3,5,4,12,Needs Attention
13209,30,8,5891.61,255,2010-12-13 10:31:00,2011-11-09 13:54:00,736.45125,1932.24,332,4,5,5,14,Champions
13210,94,1,353.48,22,2011-09-07 08:18:00,2011-09-07 08:18:00,353.48,353.48,1,2,1,2,5,Inactive/Low Engagement
13211,10,3,1197.42,45,2010-12-13 16:17:00,2011-11-29 14:43:00,399.14000000000004,775.94,351,5,3,4,12,Loyal Customers
13212,20,3,788.08,128,2011-10-09 14:48:00,2011-11-20 12:40:00,262.6933333333333,496.61,42,4,3,3,10,Loyal Customers
13213,57,5,1520.58,82,2011-05-24 12:22:00,2011-10-14 11:42:00,304.11600000000004,556.7,143,3,4,4,11,Needs Attention
13216,268,1,333.74,5,2011-03-17 12:18:00,2011-03-17 12:18:00,333.74,333.74,1,1,1,2,4,Inactive/Low Engagement
13217,122,3,533.98,3,2011-07-06 12:08:00,2011-08-09 15:32:00,177.99333333333334,396.96000000000004,35,2,3,3,8,At Risk
13218,127,1,62.63999999999999,5,2011-08-04 16:59:00,2011-08-04 16:59:00,62.63999999999999,62.63999999999999,1,2,1,1,4,Inactive/Low Engagement
13220,78,4,819.2900000000001,18,2011-04-17 10:59:00,2011-09-22 13:38:00,204.8225,476.29,159,2,4,3,9,At Risk
13221,240,2,847.41,62,2010-12-15 13:24:00,2011-04-13 16:58:00,423.70500000000004,498.16,120,1,2,3,6,Inactive/Low Engagement
13223,200,2,163.20000000000002,5,2011-04-21 15:16:00,2011-05-23 13:03:00,81.60000000000001,100.80000000000001,32,1,2,1,4,Inactive/Low Engagement
13224,60,2,2155.95,101,2011-07-11 14:10:00,2011-10-10 14:55:00,1077.975,1212.26,92,3,2,5,10,Needs Attention
13225,3,7,6463.84,23,2010-12-13 09:49:00,2011-12-06 13:29:00,923.4057142857143,1363.2000000000003,359,5,5,5,15,Champions
13226,273,1,108.21000000000001,16,2011-03-11 14:35:00,2011-03-11 14:35:00,108.21000000000001,108.21000000000001,1,1,1,1,3,Inactive/Low Engagement
13227,202,1,257.7,9,2011-05-22 11:47:00,2011-05-22 11:47:00,257.7,257.7,1,1,1,2,4,Inactive/Low Engagement
13228,81,1,358.0,2,2011-09-19 14:28:00,2011-09-19 14:28:00,358.0,358.0,1,2,1,2,5,Inactive/Low Engagement
13229,226,1,160.95,10,2011-04-28 12:07:00,2011-04-28 12:07:00,160.95,160.95,1,1,1,1,3,Inactive/Low Engagement
13230,4,14,2806.97,393,2010-12-09 19:28:00,2011-12-05 16:03:00,200.49785714285713,397.26,361,5,5,5,15,Champions
13232,13,7,1357.6,147,2011-04-10 13:48:00,2011-11-27 10:39:00,193.94285714285712,314.26,231,5,5,4,14,Champions
13233,74,2,605.12,43,2011-01-07 14:49:00,2011-09-26 13:25:00,302.56,304.24,262,2,2,3,7,Inactive/Low Engagement
13235,212,1,1031.07,53,2011-05-11 17:13:00,2011-05-11 17:13:00,1031.07,1031.07,1,1,1,4,6,At-Risk High-Value
13236,25,2,744.85,34,2011-08-25 08:58:00,2011-11-15 12:50:00,372.425,439.23,83,4,2,3,9,New/Potential Customers
13238,17,4,700.73,20,2010-12-14 14:37:00,2011-11-22 15:37:00,175.1825,277.88,344,4,4,3,11,Loyal Customers
13239,262,1,329.56,21,2011-03-23 10:25:00,2011-03-23 10:25:00,329.56,329.56,1,1,1,2,4,Inactive/Low Engagement
13240,96,4,663.65,59,2010-12-09 12:49:00,2011-09-04 14:08:00,165.9125,224.07,270,2,4,3,9,At Risk
13242,112,3,270.40000000000003,12,2011-05-10 12:26:00,2011-08-19 12:53:00,90.13333333333333,166.4,102,2,3,2,7,At Risk
13243,203,1,600.07,56,2011-05-20 13:14:00,2011-05-20 13:14:00,600.07,600.07,1,1,1,3,5,Inactive/Low Engagement
13244,93,1,121.74000000000001,27,2011-09-08 11:46:00,2011-09-08 11:46:00,121.74000000000001,121.74000000000001,1,2,1,1,4,Inactive/Low Engagement
13245,51,1,430.5,16,2011-10-20 11:40:00,2011-10-20 11:40:00,430.5,430.5,1,3,1,2,6,Needs Attention
13246,18,6,1987.3,110,2011-01-13 13:36:00,2011-11-21 16:50:00,331.21666666666664,564.96,313,4,5,4,13,Champions
13247,18,4,501.12,18,2011-09-18 11:31:00,2011-11-22 10:59:00,125.28,305.07,65,4,4,3,11,Loyal Customers
13248,125,2,465.68,25,2011-06-03 13:05:00,2011-08-07 12:40:00,232.83999999999997,387.46999999999997,65,2,2,2,6,Inactive/Low Engagement
13249,92,3,711.41,21,2011-03-23 15:26:00,2011-09-08 13:26:00,237.13666666666668,291.84000000000003,169,2,3,3,8,At Risk
13253,157,2,1030.4,35,2011-01-04 15:43:00,2011-07-06 10:09:00,515.2,553.92,183,2,2,4,8,At-Risk High-Value
13255,9,2,399.51,13,2010-12-01 11:58:00,2011-11-30 13:14:00,199.755,225.7,365,5,2,2,9,New/Potential Customers
13258,12,3,698.58,28,2011-05-18 13:11:00,2011-11-28 09:31:00,232.86,370.36,194,5,3,3,11,Loyal Customers
13259,62,1,292.32,77,2011-10-09 10:48:00,2011-10-09 10:48:00,292.32,292.32,1,3,1,2,6,Needs Attention
13260,61,1,557.62,8,2011-10-09 13:21:00,2011-10-09 13:21:00,557.62,557.62,1,3,1,3,7,Needs Attention
13261,269,2,944.1,8,2011-02-27 10:41:00,2011-03-16 12:22:00,472.05,845.1,18,1,2,4,7,At-Risk High-Value
13262,263,1,200.29,11,2011-03-21 15:06:00,2011-03-21 15:06:00,200.29,200.29,1,1,1,1,3,Inactive/Low Engagement
13263,1,35,7454.07,450,2011-01-18 16:31:00,2011-12-08 13:59:00,212.97342857142857,499.49,324,5,5,5,15,Champions
13265,53,5,2107.66,66,2011-03-11 09:54:00,2011-10-17 15:02:00,421.53200000000004,817.44,221,3,4,5,12,Needs Attention
13266,11,12,3834.2599999999998,82,2011-03-28 10:14:00,2011-11-28 14:39:00,319.5216666666667,382.34000000000003,246,5,5,5,15,Champions
13267,3,19,4521.49,88,2010-12-08 09:20:00,2011-12-07 11:12:00,237.97315789473683,384.88,365,5,5,5,15,Champions
13268,18,11,3214.69,257,2011-03-17 13:20:00,2011-11-22 11:51:00,292.24454545454546,653.57,250,4,5,5,14,Champions
13269,1,15,5346.2300000000005,177,2010-12-05 11:51:00,2011-12-08 14:53:00,356.4153333333333,704.6,369,5,5,5,15,Champions
13270,366,1,590.0,1,2010-12-08 14:53:00,2010-12-08 14:53:00,590.0,590.0,1,1,1,3,5,Inactive/Low Engagement
13271,37,1,217.38,79,2011-11-02 14:31:00,2011-11-02 14:31:00,217.38,217.38,1,3,1,1,5,Needs Attention
13272,31,2,276.56,15,2011-09-11 12:06:00,2011-11-08 14:00:00,138.28,140.96,59,4,2,2,8,New/Potential Customers
13273,113,1,138.98,16,2011-08-18 14:02:00,2011-08-18 14:02:00,138.98,138.98,1,2,1,1,4,Inactive/Low Engagement
13276,64,2,590.9300000000001,30,2011-09-01 10:03:00,2011-10-07 12:44:00,295.46500000000003,453.55,37,3,2,3,8,Needs Attention
13277,16,4,258.4,5,2011-07-29 10:06:00,2011-11-24 09:21:00,64.6,83.0,118,4,4,2,10,Loyal Customers
13278,41,1,542.73,46,2011-10-30 11:49:00,2011-10-30 11:49:00,542.73,542.73,1,3,1,3,7,Needs Attention
13279,78,1,137.75,9,2011-09-22 17:24:00,2011-09-22 17:24:00,137.75,137.75,1,2,1,1,4,Inactive/Low Engagement
13280,122,3,814.86,67,2011-01-06 17:10:00,2011-08-09 13:14:00,271.62,392.01,215,2,3,3,8,At Risk
13282,18,3,1132.14,29,2011-05-03 12:03:00,2011-11-21 15:33:00,377.38000000000005,428.40000000000003,203,4,3,4,11,Loyal Customers
13283,60,2,93.66,7,2011-06-07 12:39:00,2011-10-11 09:50:00,46.83,68.16,126,3,2,1,6,Needs Attention
13284,331,1,201.19,13,2011-01-13 09:23:00,2011-01-13 09:23:00,201.19,201.19,1,1,1,1,3,Inactive/Low Engagement
13285,23,4,2709.12,157,2011-02-22 17:13:00,2011-11-16 13:19:00,677.28,796.83,267,4,4,5,13,Champions
13291,156,1,361.11,41,2011-07-07 10:36:00,2011-07-07 10:36:00,361.11,361.11,1,2,1,2,5,Inactive/Low Engagement
13292,39,2,578.9399999999999,29,2011-02-28 15:00:00,2011-11-01 10:04:00,289.47,329.37,246,3,2,3,8,Needs Attention
13294,190,2,873.74,48,2011-04-04 12:37:00,2011-06-03 08:54:00,436.87,483.65,60,1,2,3,6,Inactive/Low Engagement
13295,360,1,201.20000000000002,10,2010-12-15 11:21:00,2010-12-15 11:21:00,201.20000000000002,201.20000000000002,1,1,1,1,3,Inactive/Low Engagement
13296,137,1,87.4,5,2011-07-25 13:46:00,2011-07-25 13:46:00,87.4,87.4,1,2,1,1,4,Inactive/Low Engagement
13297,8,4,2089.85,52,2011-10-03 15:08:00,2011-12-02 09:32:00,522.4625,1315.3799999999999,60,5,4,5,14,Champions
13298,1,1,360.0,2,2011-12-08 13:11:00,2011-12-08 13:11:00,360.0,360.0,1,5,1,2,8,New/Potential Customers
13299,268,1,142.5,5,2011-03-16 12:55:00,2011-03-16 12:55:00,142.5,142.5,1,1,1,1,3,Inactive/Low Engagement
13300,169,1,371.89,20,2011-06-23 13:09:00,2011-06-23 13:09:00,371.89,371.89,1,2,1,2,5,Inactive/Low Engagement
13301,104,4,618.09,75,2011-02-20 13:13:00,2011-08-28 11:25:00,154.5225,173.91,189,2,4,3,9,At Risk
13302,155,1,63.75,1,2011-07-07 17:56:00,2011-07-07 17:56:00,63.75,63.75,1,2,1,1,4,Inactive/Low Engagement
13304,351,1,300.42,21,2010-12-23 14:35:00,2010-12-23 14:35:00,300.42,300.42,1,1,1,2,4,Inactive/Low Engagement
13305,4,10,2000.86,50,2010-12-02 12:10:00,2011-12-05 15:15:00,200.08599999999998,316.45,369,5,5,4,14,Champions
13307,120,1,15.0,1,2011-08-11 17:14:00,2011-08-11 17:14:00,15.0,15.0,1,2,1,1,4,Inactive/Low Engagement
13308,23,3,1385.51,49,2011-05-20 13:13:00,2011-11-17 09:31:00,461.83666666666664,814.95,181,4,3,4,11,Loyal Customers
13309,7,5,1456.79,82,2011-02-04 12:29:00,2011-12-02 16:34:00,291.358,390.71,302,5,4,4,13,Champions
13310,28,3,1132.03,65,2011-01-19 14:50:00,2011-11-11 17:23:00,377.3433333333333,410.18,297,4,3,4,11,Loyal Customers
13311,4,2,598.57,25,2011-07-12 14:26:00,2011-12-05 12:55:00,299.285,490.11,146,5,2,3,10,New/Potential Customers
13313,22,5,1555.32,47,2011-01-04 10:00:00,2011-11-17 16:48:00,311.064,324.3,318,4,4,4,12,Champions
13314,2,3,775.94,55,2011-09-27 10:20:00,2011-12-08 12:29:00,258.6466666666667,499.62,73,5,3,3,11,Loyal Customers
13316,37,4,5977.7300000000005,66,2011-03-30 13:01:00,2011-11-02 13:40:00,1494.4325,2157.5,218,3,4,5,12,Needs Attention
13317,66,6,2273.68,100,2010-12-16 09:22:00,2011-10-04 13:35:00,378.9466666666667,959.7,293,3,5,5,13,Needs Attention
13318,1,3,640.76,14,2011-11-02 13:26:00,2011-12-08 18:51:00,213.58666666666667,302.96,37,5,3,3,11,Loyal Customers
13319,5,26,10845.550000000001,209,2010-12-09 10:04:00,2011-12-04 13:34:00,417.1365384615384,1855.99,361,5,5,5,15,Champions
13320,78,4,1548.7,77,2011-05-10 10:29:00,2011-09-22 18:07:00,387.175,567.55,136,2,4,4,10,At-Risk High-Value
13321,72,2,567.36,10,2011-09-14 15:18:00,2011-09-28 15:24:00,283.68,308.32,15,2,2,3,7,Inactive/Low Engagement
13322,17,1,199.48000000000002,25,2011-11-22 14:21:00,2011-11-22 14:21:00,199.48000000000002,199.48000000000002,1,4,1,1,6,New/Potential Customers
13323,3,5,787.85,6,2011-09-16 13:23:00,2011-12-06 17:12:00,157.57,274.8,82,5,4,3,12,Loyal Customers
13324,36,10,7121.95,25,2010-12-14 09:50:00,2011-11-03 16:28:00,712.1949999999999,1783.24,325,3,5,5,13,Needs Attention
13325,82,1,675.3,12,2011-09-19 10:36:00,2011-09-19 10:36:00,675.3,675.3,1,2,1,3,6,Inactive/Low Engagement
13327,39,8,3627.77,74,2010-12-09 15:32:00,2011-11-01 10:21:00,453.47125,889.02,327,3,5,5,13,Needs Attention
13328,316,1,1308.48,17,2011-01-27 15:22:00,2011-01-27 15:22:00,1308.48,1308.48,1,1,1,4,6,At-Risk High-Value
13329,32,2,789.0,16,2010-12-08 10:11:00,2011-11-08 10:29:00,394.5,484.79999999999995,336,4,2,3,9,New/Potential Customers
13330,93,3,1140.93,37,2011-01-28 10:08:00,2011-09-08 12:27:00,380.30999999999995,412.71,224,2,3,4,9,At-Risk High-Value
13332,14,1,350.9,21,2011-11-25 13:30:00,2011-11-25 13:30:00,350.9,350.9,1,4,1,2,7,New/Potential Customers
13334,82,3,3536.82,207,2011-02-07 11:42:00,2011-09-18 15:21:00,1178.94,1660.44,224,2,3,5,10,At-Risk High-Value
13336,77,1,795.12,51,2011-09-23 14:05:00,2011-09-23 14:05:00,795.12,795.12,1,2,1,3,6,Inactive/Low Engagement
13338,158,1,487.02,19,2011-07-05 09:06:00,2011-07-05 09:06:00,487.02,487.02,1,2,1,2,5,Inactive/Low Engagement
13339,201,1,860.12,54,2011-05-23 08:31:00,2011-05-23 08:31:00,860.12,860.12,1,1,1,3,5,Inactive/Low Engagement
13340,45,7,10736.48,128,2011-03-08 11:39:00,2011-10-25 13:15:00,1533.782857142857,3678.03,232,3,5,5,13,Needs Attention
13341,261,1,775.85,42,2011-03-24 09:50:00,2011-03-24 09:50:00,775.85,775.85,1,1,1,3,5,Inactive/Low Engagement
13343,178,1,353.43,19,2011-06-15 12:24:00,2011-06-15 12:24:00,353.43,353.43,1,2,1,2,5,Inactive/Low Engagement
13344,68,3,2543.72,115,2011-03-07 10:28:00,2011-10-03 09:45:00,847.9066666666668,1656.15,210,3,3,5,11,Needs Attention
13345,288,1,389.5,20,2011-02-25 09:01:00,2011-02-25 09:01:00,389.5,389.5,1,1,1,2,4,Inactive/Low Engagement
13347,70,1,341.36,8,2011-09-30 13:28:00,2011-09-30 13:28:00,341.36,341.36,1,3,1,2,6,Needs Attention
13348,64,1,233.76,14,2011-10-06 17:28:00,2011-10-06 17:28:00,233.76,233.76,1,3,1,1,5,Needs Attention
13349,11,1,247.32,16,2011-11-29 08:07:00,2011-11-29 08:07:00,247.32,247.32,1,5,1,1,7,New/Potential Customers
13350,16,2,979.12,36,2011-09-21 13:33:00,2011-11-23 16:33:00,489.56000000000006,646.57,64,4,2,4,10,Recent High-Value
13351,66,1,373.94,16,2011-10-04 12:55:00,2011-10-04 12:55:00,373.94,373.94,1,3,1,2,6,Needs Attention
13352,60,1,397.97999999999996,24,2011-10-10 13:55:00,2011-10-10 13:55:00,397.97999999999996,397.97999999999996,1,3,1,2,6,Needs Attention
